,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
1708,MCOX US Equity,Mecox Lane Limited,3.86,$50.19M,2010,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/mcox,na,na,0,0
1709,TAXI US Equity,Medallion Financial Corp.,10.8,$271.76M,1996,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/taxi,na,na,0,0
1710,MDAS US Equity,"MedAssets, Inc.",19.73,$1.19B,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mdas,na,na,0,0
1711,MTBC US Equity,"Medical Transcription Billing, Corp.",2.6999,$29.7M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mtbc,na,na,0,0
1712,MNOV US Equity,"MediciNova, Inc.",3.51,$85.01M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mnov,na,na,0,0
1713,MDSO US Equity,"Medidata Solutions, Inc.",47.42,$2.57B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mdso,na,na,0,0
1714,MDVN US Equity,"Medivation, Inc.",110,$8.54B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdvn,na,na,0,0
1715,MDWD US Equity,MediWound Ltd.,7.52,$162.06M,2014,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/mdwd,na,na,0,0
1716,MDVX US Equity,Medovex Corp.,4.75,$43.57M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mdvx,na,na,0,0
1717,MDVXW US Equity,Medovex Corp.,0.19,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mdvxw,na,na,0,0
1718,MEET US Equity,"MeetMe, Inc.",1.79,$80.33M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/meet,na,na,0,0
1719,MEIP US Equity,"MEI Pharma, Inc.",5.42,$180.44M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/meip,na,na,0,0
1720,MELA US Equity,"MELA Sciences, Inc",2.09,$12.62M,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mela,na,na,0,0
1721,MPEL US Equity,Melco Crown Entertainment Limited,27.46,$15.13B,2006,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mpel,na,na,0,0
