,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
0,TFSC US Equity,1347 Capital Corp.,9.43,$56.09M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,"1347 Capital Corp. is a blank check company formed for the purpose of entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more businesses or entities.",www.1347capital.com,0,0
1,TFSCR US Equity,1347 Capital Corp.,0.37,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,"1347 Capital Corp. is a blank check company formed for the purpose of entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more businesses or entities.",www.1347capital.com,0,0
2,TFSCU US Equity,1347 Capital Corp.,9.97,$41.67M,2014,n/a,n/a,http://www.nasdaq.com/symbol/tfscu,"1347 Capital Corp. is a blank check company formed for the purpose of entering into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more businesses or entities.",www.1347capital.com,0,0
3,TFSCW US Equity,1347 Capital Corp.,0.2,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,na,na,0,0
4,PIH US Equity,"1347 Property Insurance Holdings, Inc.",7.66,$48.7M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,na,na,0,0
5,FLWS US Equity,"1-800 FLOWERS.COM, Inc.",10.32,$667.78M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,na,na,0,0
6,FCTY US Equity,"1st Century Bancshares, Inc",6.774,$68.73M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,na,na,0,0
7,FCCY US Equity,1st Constitution Bancorp (NJ),11.18,$79.77M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,na,na,0,0
8,SRCE US Equity,1st Source Corporation,31.31,$747.13M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,na,na,0,0
9,VNET US Equity,"21Vianet Group, Inc.",18.33,$1.2B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,na,na,0,0
10,TWOU US Equity,"2U, Inc.",17.62,$714.35M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,na,na,0,0
11,DGLD US Equity,3X Inverse Gold ETN Velocityshares,72.22,$9.82M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,na,na,0,0
12,JOBS US Equity,"51job, Inc.",33.77,$1.99B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,na,na,0,0
13,SIXD US Equity,"6D Global Technologies, Inc.",8.52,$660.94M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd,na,na,0,0
14,EGHT US Equity,8x8 Inc,7.62,$684.79M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,na,na,0,0
15,AVHI US Equity,"A V Homes, Inc.",15.13,$334.32M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,na,na,0,0
16,SHLM US Equity,"A. Schulman, Inc.",40.3,$1.17B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,na,na,0,0
17,AAON US Equity,"AAON, Inc.",23.74,$1.29B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,na,na,0,0
18,ABAX US Equity,"ABAXIS, Inc.",60.17,$1.36B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,na,na,0,0
19,ABY US Equity,Abengoa Yield plc,34.73,$2.78B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,na,na,0,0
20,ABGB US Equity,"Abengoa, S.A.",17.53,$2.94B,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,na,na,0,0
21,ABMD US Equity,"ABIOMED, Inc.",60.35,$2.48B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,na,na,0,0
22,AXAS US Equity,Abraxas Petroleum Corporation,3.16,$332.99M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,na,na,0,0
23,ACTG US Equity,Acacia Research Corporation,12.83,$643.05M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,na,na,0,0
24,ACHC US Equity,"Acadia Healthcare Company, Inc.",63.795,$4.21B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,na,na,0,0
25,ACAD US Equity,ACADIA Pharmaceuticals Inc.,37.45,$3.74B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,na,na,0,0
26,ACST US Equity,"Acasti Pharma, Inc.",0.5592,$59.52M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,na,na,0,0
27,AXDX US Equity,"Accelerate Diagnostics, Inc.",18.05,$805.21M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,na,na,0,0
28,XLRN US Equity,Acceleron Pharma Inc.,39.98,$1.29B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,na,na,0,0
29,ANCX US Equity,Access National Corporation,17.98,$187.93M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,na,na,0,0
30,ARAY US Equity,Accuray Incorporated,8.04,$631.05M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,na,na,0,0
31,ACRX US Equity,"AcelRx Pharmaceuticals, Inc.",8.13,$355.34M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,na,na,0,0
32,ACET US Equity,Aceto Corporation,20.95,$609.83M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,na,na,0,0
33,AKAO US Equity,"Achaogen, Inc.",11.47,$203.68M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,na,na,0,0
34,ACHN US Equity,"Achillion Pharmaceuticals, Inc.",12.16,$1.39B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,na,na,0,0
35,ACIW US Equity,"ACI Worldwide, Inc.",20.46,$2.35B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,na,na,0,0
36,ACNB US Equity,ACNB Corporation,20.25,$121.73M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,na,na,0,0
37,ACOR US Equity,"Acorda Therapeutics, Inc.",37.41,$1.57B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,na,na,0,0
38,ACFN US Equity,"Acorn Energy, Inc.",0.6124,$16.21M,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn,na,na,0,0
39,ACTS US Equity,"Actions Semiconductor Co., Ltd.",1.59,$136.74M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,na,na,0,0
40,ACPW US Equity,"Active Power, Inc.",1.83,$42.26M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,na,na,0,0
41,ATVI US Equity,"Activision Blizzard, Inc",23.31,$16.76B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,na,na,0,0
42,ACTA US Equity,Actua Corporation,15.37,$623.74M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,na,na,0,0
43,ACUR US Equity,"Acura Pharmaceuticals, Inc.",0.63,$29.51M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,na,na,0,0
44,ACXM US Equity,Acxiom Corporation,19.66,$1.52B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,na,na,0,0
45,ADMS US Equity,"Adamas Pharmaceuticals, Inc.",17.28,$295.93M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,na,na,0,0
46,ADMP US Equity,Adamis Pharmaceuticals Corporation,6.51,$84.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,na,na,0,0
47,ADUS US Equity,Addus HomeCare Corporation,21.4,$235.18M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,na,na,0,0
48,AEY US Equity,"ADDvantage Technologies Group, Inc.",2.4568,$24.67M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,na,na,0,0
49,ADEP US Equity,"Adept Technology, Inc.",6.5,$85.17M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep,na,na,0,0
50,ADMA US Equity,ADMA Biologics Inc,10.48,$97.38M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,na,na,0,0
51,ADBE US Equity,Adobe Systems Incorporated,78.55,$39.14B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,na,na,0,0
52,ADTN US Equity,"ADTRAN, Inc.",23,$1.25B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,na,na,0,0
53,AAAP US Equity,Advanced Accelerator Applications S.A.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaap,na,na,0,0
54,AEIS US Equity,"Advanced Energy Industries, Inc.",26.53,$1.06B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,na,na,0,0
55,AMD US Equity,"Advanced Micro Devices, Inc.",3.06,$2.37B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,na,na,0,0
56,ADXS US Equity,"Advaxis, Inc.",8.22,$194.36M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,na,na,0,0
57,ADXSW US Equity,"Advaxis, Inc.",5.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,na,na,0,0
58,ADVS US Equity,"Advent Software, Inc.",44.17,$2.31B,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs,na,na,0,0
59,MULT US Equity,Advisorshares Trust-Advisorshares Sunrise Global Multi-Strateg,23.25,$2.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mult,na,na,0,0
60,YPRO US Equity,AdvisorShares YieldPro ETF,23.94,$68.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro,na,na,0,0
61,AEGR US Equity,"Aegerion Pharmaceuticals, Inc.",26.49,$753.27M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,na,na,0,0
62,AEGN US Equity,Aegion Corp,16.66,$622.78M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,na,na,0,0
63,AEHR US Equity,Aehr Test Systems,2.39,$30.67M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,na,na,0,0
64,AMTX US Equity,"Aemetis, Inc",4.42,$91.11M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,na,na,0,0
65,AEPI US Equity,AEP Industries Inc.,51.32,$260.74M,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi,na,na,0,0
66,AERI US Equity,"Aerie Pharmaceuticals, Inc.",27.71,$664.61M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,na,na,0,0
67,AVAV US Equity,"AeroVironment, Inc.",27.88,$650.21M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,na,na,0,0
68,AEZS US Equity,AEterna Zentaris Inc.,0.601,$39.37M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,na,na,0,0
69,AFMD US Equity,Affimed N.V.,5.43,$130.23M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,na,na,0,0
70,AFFX US Equity,"Affymetrix, Inc.",11.84,$871.23M,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx,na,na,0,0
71,AGEN US Equity,Agenus Inc.,5.2,$325.96M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,na,na,0,0
72,AGRX US Equity,"Agile Therapeutics, Inc.",9.47,$189.51M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,na,na,0,0
73,AGYS US Equity,"Agilysys, Inc.",9.87,$225.26M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,na,na,0,0
74,AGIO US Equity,"Agios Pharmaceuticals, Inc.",106.3,$3.93B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,na,na,0,0
75,AIRM US Equity,Air Methods Corporation,45.6,$1.79B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,na,na,0,0
76,AIRT US Equity,"Air T, Inc.",19.81,$46.95M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,na,na,0,0
77,ATSG US Equity,"Air Transport Services Group, Inc",8.95,$581.21M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,na,na,0,0
78,AMCN US Equity,AirMedia Group Inc,2.19,$130.45M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,na,na,0,0
79,AIXG US Equity,Aixtron SE,8.13,$906.84M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg,na,na,0,0
80,AKAM US Equity,"Akamai Technologies, Inc.",71.62,$12.75B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,na,na,0,0
81,AKBA US Equity,"Akebia Therapeutics, Inc.",10.14,$206.26M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,na,na,0,0
82,AKER US Equity,Akers Biosciences Inc,3.7365,$18.51M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,na,na,0,0
83,AKRX US Equity,"Akorn, Inc.",48.02,$5.18B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,na,na,0,0
84,ALSK US Equity,"Alaska Communications Systems Group, Inc.",1.71,$84.71M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,na,na,0,0
85,AMRI US Equity,"Albany Molecular Research, Inc.",16.27,$530.51M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri,na,na,0,0
86,ABDC US Equity,Alcentra Capital Corp.,13.59,$183.69M,2014,n/a,n/a,http://www.nasdaq.com/symbol/abdc,na,na,0,0
87,ADHD US Equity,Alcobra Ltd.,7.43,$157.35M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,na,na,0,0
88,ALDR US Equity,"Alder BioPharmaceuticals, Inc.",27.41,$1.03B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,na,na,0,0
89,ALDX US Equity,"Aldeyra Therapeutics, Inc.",10.5,$58.44M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,na,na,0,0
90,ALXN US Equity,"Alexion Pharmaceuticals, Inc.",186.02,$37.6B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,na,na,0,0
91,ALXA US Equity,"Alexza Pharmaceuticals, Inc.",2.18,$42.3M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa,na,na,0,0
92,ALCO US Equity,"Alico, Inc.",48.01,$353.87M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,na,na,0,0
93,ALGN US Equity,"Align Technology, Inc.",56.81,$4.56B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,na,na,0,0
94,ALIM US Equity,"Alimera Sciences, Inc.",5.32,$235.66M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,na,na,0,0
95,ALKS US Equity,Alkermes plc,73.24,$10.71B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,na,na,0,0
96,ALGT US Equity,Allegiant Travel Company,184.79,$3.23B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,na,na,0,0
97,ALLB US Equity,"Alliance Bancorp, Inc. of Pennsylvania",16.93,$68.18M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb,na,na,0,0
98,AFOP US Equity,"Alliance Fiber Optic Products, Inc.",16.98,$316.72M,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop,na,na,0,0
99,AIQ US Equity,"Alliance HealthCare Services, Inc.",25.08,$269.22M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq,na,na,0,0
100,AHGP US Equity,"Alliance Holdings GP, L.P.",52.57,$3.15B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,na,na,0,0
101,ARLP US Equity,"Alliance Resource Partners, L.P.",40.41,$2.99B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,na,na,0,0
102,AHPI US Equity,"Allied Healthcare Products, Inc.",1.71,$13.73M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,na,na,0,0
103,AMOT US Equity,"Allied Motion Technologies, Inc.",26.89,$248.06M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,na,na,0,0
104,ALQA US Equity,"Alliqua BioMedical, Inc.",6,$97.04M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,na,na,0,0
105,ALLT US Equity,Allot Communications Ltd.,9.3,$309.2M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,na,na,0,0
106,MDRX US Equity,"Allscripts Healthcare Solutions, Inc.",12.83,$2.31B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,na,na,0,0
107,AFAM US Equity,Almost Family Inc,29.46,$279.16M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,na,na,0,0
108,ALNY US Equity,"Alnylam Pharmaceuticals, Inc.",102.39,$8.58B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,na,na,0,0
109,AOSL US Equity,Alpha and Omega Semiconductor Limited,8.79,$234.31M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,na,na,0,0
110,ATEC US Equity,"Alphatec Holdings, Inc.",1.35,$134.45M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,na,na,0,0
111,ALTR US Equity,Altera Corporation,36.14,$10.87B,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr,na,na,0,0
112,IDGX US Equity,"AltheaDx, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/idgx,na,na,0,0
113,ASPS US Equity,Altisource Portfolio Solutions S.A.,23.2,$470.31M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,na,na,0,0
114,AIMC US Equity,Altra Industrial Motion Corp.,26.26,$699.44M,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,na,na,0,0
115,AMAG US Equity,"AMAG Pharmaceuticals, Inc.",43.04,$1.1B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,na,na,0,0
116,AMRN US Equity,Amarin Corporation PLC,1.33,$232.23M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,na,na,0,0
117,AMRK US Equity,"A-Mark Precious Metals, Inc.",10.1399,$70.6M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,na,na,0,0
118,AMZN US Equity,"Amazon.com, Inc.",383.66,$178.17B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,na,na,0,0
119,AMBC US Equity,"Ambac Financial Group, Inc.",25.42,$1.14B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,na,na,0,0
120,AMBCW US Equity,"Ambac Financial Group, Inc.",13.71,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,na,na,0,0
121,AMBA US Equity,"Ambarella, Inc.",51.75,$1.57B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,na,na,0,0
122,EPAX US Equity,"Ambassadors Group, Inc.",2.41,$41.08M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax,na,na,0,0
123,AMCX US Equity,AMC Networks Inc.,69.34,$5B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,na,na,0,0
124,DOX US Equity,Amdocs Limited,51.57,$8.01B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,na,na,0,0
125,AMDA US Equity,Amedica Corporation,0.8,$11.04M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,na,na,0,0
126,AMED US Equity,Amedisys Inc,28.69,$957.68M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,na,na,0,0
127,UHAL US Equity,Amerco,321.8,$6.31B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,na,na,0,0
128,ASBI US Equity,Ameriana Bancorp,15.831,$47.6M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi,na,na,0,0
129,ATAX US Equity,"America First Multifamily Investors, L.P.",5.79,$348.86M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,na,na,0,0
130,AMOV US Equity,"America Movil, S.A.B. de C.V.",21.58,$74.86B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,na,na,0,0
131,AAL US Equity,"American Airlines Group, Inc.",51.02,$36.59B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,na,na,0,0
132,AGNC US Equity,American Capital Agency Corp.,21.94,$7.74B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,na,na,0,0
133,AGNCB US Equity,American Capital Agency Corp.,25.1199,$8.86B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,na,na,0,0
134,AGNCP US Equity,American Capital Agency Corp.,26.6399,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp,na,na,0,0
135,MTGE US Equity,American Capital Mortgage Investment Corp.,18.27,$934.37M,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge,na,na,0,0
136,MTGEP US Equity,American Capital Mortgage Investment Corp.,25.24,$50.48M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtgep,na,na,0,0
137,ACSF US Equity,"American Capital Senior Floating, Ltd.",12.9,$129M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,na,na,0,0
138,ACAS US Equity,"American Capital, Ltd.",14.75,$3.98B,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas,na,na,0,0
139,ANCI US Equity,American Caresource Holdings Inc,2.89,$19.4M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/anci,na,na,0,0
140,AETI US Equity,"American Electric Technologies, Inc.",4.14,$33.89M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,na,na,0,0
141,AMIC US Equity,American Independence Corp.,10.61,$85.72M,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic,na,na,0,0
142,AMNB US Equity,"American National Bankshares, Inc.",22.1,$173.41M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,na,na,0,0
143,ANAT US Equity,American National Insurance Company,105.61,$2.84B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,na,na,0,0
144,APEI US Equity,"American Public Education, Inc.",34.08,$588.38M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,na,na,0,0
145,ARII US Equity,"American Railcar Industries, Inc.",56.08,$1.2B,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,na,na,0,0
146,ARCP US Equity,"American Realty Capital Properties, Inc.",9.44,$8.57B,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp,na,na,0,0
147,ARCPP US Equity,"American Realty Capital Properties, Inc.",23.24,$999.32M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcpp,na,na,0,0
148,AMRB US Equity,American River Bankshares,9.72,$78.63M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,na,na,0,0
149,ASEI US Equity,"American Science and Engineering, Inc.",51.52,$380.58M,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei,na,na,0,0
150,AMSWA US Equity,"American Software, Inc.",9.12,$257.55M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,na,na,0,0
151,AMSC US Equity,American Superconductor Corporation,0.77,$73.71M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,na,na,0,0
152,AMWD US Equity,American Woodmark Corporation,44.12,$698.38M,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,na,na,0,0
153,CRMT US Equity,"America&#39;s Car-Mart, Inc.",53.63,$462.44M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,na,na,0,0
154,ABCB US Equity,Ameris Bancorp,26,$732.18M,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,na,na,0,0
155,AMSF US Equity,"AMERISAFE, Inc.",42.94,$808.25M,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,na,na,0,0
156,ASRV US Equity,AmeriServ Financial Inc.,2.95,$55.44M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,na,na,0,0
157,ASRVP US Equity,AmeriServ Financial Inc.,27.66,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp,na,na,0,0
158,ATLO US Equity,Ames National Corporation,24.74,$230.35M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,na,na,0,0
159,AMGN US Equity,Amgen Inc.,157.66,$119.93B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,na,na,0,0
160,FOLD US Equity,"Amicus Therapeutics, Inc.",8.7,$828.67M,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,na,na,0,0
161,AMKR US Equity,"Amkor Technology, Inc.",9.16,$2.17B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,na,na,0,0
162,AMPH US Equity,"Amphastar Pharmaceuticals, Inc.",12.85,$573.74M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,na,na,0,0
163,AMSG US Equity,Amsurg Corp.,55.96,$2.69B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg,na,na,0,0
164,AMSGP US Equity,Amsurg Corp.,116.19,$200.43M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsgp,na,na,0,0
165,ASYS US Equity,"Amtech Systems, Inc.",10.49,$136.96M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,na,na,0,0
166,AFSI US Equity,"AmTrust Financial Services, Inc.",55.76,$4.4B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,na,na,0,0
